rank,spanish_infinitive,english,sentence1,sentence2,yo,tu,el,nosotros,vosotros,ellos
1,ser,to be,* muy importante para el equipo en este momento.,* una buena opción para resolver el problema actual.,soy,eres,es,somos,sois,son
2,estar,to be,* en casa después de un día muy largo de trabajo.,* listo para comenzar el proyecto sin ningún problema.,estoy,estás,está,estamos,estáis,están
3,tener,to have,* muchas ideas interesantes para mejorar la situación actual.,* suficiente tiempo para terminar todo antes del plazo.,tengo,tienes,tiene,tenemos,tenéis,tienen
4,hacer,to do/make,* un gran esfuerzo para completar la tarea correctamente.,* cambios importantes que afectan a todo el grupo.,hago,haces,hace,hacemos,hacéis,hacen
5,poder,to be able to/can,* ayudar con el proyecto si hay tiempo suficiente.,* resolver el problema con una solución sencilla.,puedo,puedes,puede,podemos,podéis,pueden
6,decir,to say/tell,* algo importante durante la reunión de esta tarde.,* la verdad aunque sea difícil en ese momento.,digo,dices,dice,decimos,decís,dicen
7,ir,to go,* al trabajo temprano para evitar el tráfico intenso.,* a visitar un lugar nuevo durante el fin de semana.,voy,vas,va,vamos,vais,van
8,ver,to see,* una película interesante después de terminar el trabajo.,* los resultados claramente en poco tiempo.,veo,ves,ve,vemos,veis,ven
9,dar,to give,* una oportunidad para mejorar en esta situación difícil.,* apoyo necesario durante el proceso complicado.,doy,das,da,damos,dais,dan
10,saber,to know,* la respuesta correcta después de analizar todo bien.,* cómo manejar la situación de manera adecuada.,sé,sabes,sabe,sabemos,sabéis,saben
11,querer,to want/love,* intentar algo nuevo para mejorar las habilidades.,* pasar más tiempo con la familia este año.,quiero,quieres,quiere,queremos,queréis,quieren
12,llegar,to arrive,* temprano para evitar problemas con el horario.,* a tiempo si todo sale como está planeado.,llego,llegas,llega,llegamos,llegáis,llegan
13,pasar,to happen/pass,* algo inesperado durante el evento importante.,* mucho tiempo desde la última vez que ocurrió.,paso,pasas,pasa,pasamos,pasáis,pasan
14,deber,to owe/should,* considerar todas las opciones antes de decidir.,* completar el trabajo antes de la fecha límite.,debo,debes,debe,debemos,debéis,deben
15,poner,to put/place,* atención a los detalles en cada parte del proceso.,* la mesa antes de que lleguen todos los invitados.,pongo,pones,pone,ponemos,ponéis,ponen
16,parecer,to seem,* una buena idea después de analizar la situación.,* complicado al principio pero fácil después.,parezco,pareces,parece,parecemos,parecéis,parecen
17,quedar,to stay/remain,* en casa para descansar después del viaje largo.,* suficiente tiempo para terminar el proyecto.,quedo,quedas,queda,quedamos,quedáis,quedan
18,creer,to believe,* en la posibilidad de mejorar con práctica constante.,* que todo saldrá bien al final del día.,creo,crees,cree,creemos,creéis,creen
19,hablar,to speak,* con calma para explicar claramente la situación.,* sobre temas importantes durante la reunión.,hablo,hablas,habla,hablamos,habláis,hablan
20,llevar,to carry/wear/bring,* ropa cómoda para el viaje largo de mañana.,* documentos necesarios para completar el proceso.,llevo,llevas,lleva,llevamos,lleváis,llevan
